,Comment,KOREAN / ÇÑ±¹¾î,ENGLISH,JAPANESE / ìíÜâåŞ,SIMPLIFIED CHINESE / ??ñéÙş,TRADITIONAL CHINESE / Ûåô÷ñéÙş,GERMAN / DEUTSCH,SPANISH / ESPANOL,PORTUGUESE / PORTUGUES (BR),RUSSIAN / ¬²¬µ¬³¬³¬¬¬ª¬«,POLISH / POLSKI,FRENCH / FRANCAIS
npc/witch/Masteries/WillOfAncestor/0,,¼±Á¶µéÀº ÀÚ±â Á¾Á·ÀÇ ÈûÀ» ´ë´ë·Î ¸ğ¾Æ ±×µé ÀÚ½ÅÀ» ÁöÄÑÁÙ ¹«±â·Î »ç¿ëÇÏ°ï Çß¾î¿ä. ±×µéÀÇ ÀÇÁö°¡ ´ç½ÅÀ» ÁöÄÑÁÙ°Å¿¡¿ä.,Our ancestors amassed the power of their tribe over generations to use as a weapon. You'll be protected by their will.,à»ğÓª¿ªÁªÏ¡¢í»İÂªÎğúğéªÎÕôªòÓÛ?ó¢ªáªÆ¡¢ù¨ªéí»ãóªòáúªëÙëĞïªÈª·ªÆŞÅªÃªÆª¤ªŞª·ª¿¡£ù¨ªéªÎëòò¤ª¬ª¢ªÊª¿ªòáúªÃªÆª¯ªìªëªÏªºªÇª¹¡£,à»ğÓ?á¦á¦ÓÛÓÛâ¥ó¢í»Ğù?ğéîÜÕôÕáíÂ?áú?í»ãóîÜÙëĞï¡£öâ?îÜëòò¤?áú??îÜ¡£,ğÓà»ÙúìéÓÛïÈîÊìéÓÛëêö©Öõí»ĞùğúğéîÜÕôÕá£¬ÑÚÕÎÓ×íÂÙëĞïáúûŞí»Ğù¡£öâÙúîÜëòò¤üåáúûŞ?îÜ¡£,"Unsere Ahnen sammelten die Macht ihres Stammes uber Generationen hinweg, um sie als Waffe einzusetzen. Ihr Wille wird dich beschutzen.",Nuestros ancestros atesoraron el poder de su tribu durante generaciones para convertirlo en un arma. Su determinacion te protegera.,Nossos antepassados acumularam o poder de sua tribo ao longo de geracoes para usar como uma arma. Voce estara protegido por sua vontade.,"¬¯¬Ñ¬ê¬Ú ¬á¬â¬Ö¬Õ¬Ü¬Ú ¬á¬à¬Ü¬à¬İ¬Ö¬ß¬Ú¬ñ¬Ş¬Ú ¬ß¬Ñ¬Ü¬Ñ¬á¬İ¬Ú¬Ó¬Ñ¬İ¬Ú ¬ã¬Ú¬İ¬å ¬ã¬Ó¬à¬Ö¬Ô¬à ¬á¬İ¬Ö¬Ş¬Ö¬ß¬Ú, ¬é¬ä¬à¬Ò¬í ¬Ú¬ã¬á¬à¬İ¬î¬Ù¬à¬Ó¬Ñ¬ä¬î ¬Ö¬Ö ¬Ü¬Ñ¬Ü ¬à¬â¬å¬Ø¬Ú¬Ö. ¬ª¬ç ¬Ó¬à¬İ¬ñ ¬Ù¬Ñ¬ë¬Ú¬ä¬Ú¬ä ¬ä¬Ö¬Ò¬ñ.","Nasi przodkowie przez pokolenia kumulowali moc naszego plemienia, aby w ko?cu u?y? tej broni. B?dziesz chroniony ich wol?.",Nos ancetres ont accumule le pouvoir de leur tribu au fil des generations pour en faire une arme. Tu seras protege par leur volonte.
npc/witch/Masteries/WillOfAncestor/1,,¼±Á¶µéÀÇ µµ¿òÀ» ÀÚÁÖ ¹Ş°Ú±º¿ä. ºË°Ô µÇ¸é ¾ÈºÎ ÀÎ»ç ÀüÇØÁÖ¼¼¿ä.,"You'll often get help from our ancestors. If you see them, please send my regards.",ªèª¯à»ğÓª¿ªÁªËğ¾ª±ªÆªâªéª¦ª³ªÈªËªÊªëªÇª·ªçª¦¡£ªâª·?ªÃª¿ªéªèªíª·ª¯?ª¨ªÆª¯ªÀªµª¤ªÍ¡£,Ê×????ßÈáôÓğà»ğÓ?îÜ?ğ¾¡£Ê×Óğöâ?îÜ?£¬?ØÏ??äÌ?¡£,?ëëú±ßÈïÈáôğÓà»ÙúîÜ?ğ¾?£¡åıÍıéçÌ¸öâÙú£¬Ø«Ûáôğä²Ùıû¿¡£,"Unsere Ahnen werden dir ofter weiterhelfen. Richte ihnen meine Gru©¬e aus, wenn du sie triffst.","A menudo recibiras ayuda de nuestros ancestros. Cuando los veas, saludalos de mi parte.","Frequentemente ira receber ajuda de nossos antepassados. Se voce os vir, mande cumprimentos meus.","¬¯¬Ñ¬ê¬Ú ¬á¬â¬Ö¬Õ¬Ü¬Ú ¬é¬Ñ¬ã¬ä¬à ¬ä¬Ö¬Ò¬Ö ¬á¬à¬Ş¬à¬Ô¬Ñ¬ğ¬ä. ¬¦¬ã¬İ¬Ú ¬å¬Ó¬Ú¬Õ¬Ú¬ê¬î ¬Ú¬ç, ¬á¬Ö¬â¬Ö¬Õ¬Ñ¬Ó¬Ñ¬Û ¬á¬â¬Ú¬Ó¬Ö¬ä.","Nasi przodkowie cz?sto udziel? ci pomocy. Je?li ich spotkasz, przeka? im moje wyrazy szacunku.","Tu recevras souvent l'aide de nos ancetres. Si tu les vois, passe-leur le bonjour."
npc/witch/Masteries/WillOfAncestor/2,,Á¤¼ö´Â °İÇÏ°Ô ´Ù·çÁø ¸»¾ÆÁÖ¼¼¿ä. ±× ³ëÀÎ³×¿¡°Ô °É¸®¸é È¥ÂáÀÌ ³¯Áöµµ.,Please try not to manhandle Quintessences. The geezer won't be too happy if you do.,ïñ?ªÏ?øìªËĞâªïªÊª¤ªÇª¯ªÀªµª¤¡£ª¢ªÎªªÒ´ĞöªêªË«Ğ«ìª¿ªéòêªéªìªëª«ªâª·ªìªŞª»ªóªè¡£,Üôé©?éÍØíÖ­îÜŞÅéÄïñ?¡£åıÍıù¬Ñá?ÖÕÊ«?ÓÕ?îÜ?£¬?ù¬??îÜ¡£,ôëá³ãıìÏìÏŞÅéÄïñâĞ£¬é©ãÀù¬ÑáËÁÖÕìÑÛ¡úŞ£¬Ê¦Òöüåù¬÷ÔØáìéÔË¡£,Bitte geh sorgsam mit den Essenzen um. Der Alte wurde sich sonst ziemlich argern.,"Intenta no manosear demasiado la quintaesencia, anda. De lo contrario, el viejales se pondra hecho una furia.",Tente nao tratar as Quintessencias com violencia. O velhote nao ficara muito contente se o fizer.,¬±¬à¬ã¬ä¬Ñ¬â¬Ñ¬Û¬ã¬ñ ¬ß¬Ö ¬İ¬Ö¬Ù¬ä¬î ¬Ó ¬Ü¬Ó¬Ú¬ß¬ä¬ï¬ã¬ã¬Ö¬ß¬è¬Ú¬Ú. ¬³¬ä¬Ñ¬â¬í¬Û ¬ç¬â¬í¬é ¬Ò¬å¬Õ¬Ö¬ä ¬ß¬Ö¬Õ¬à¬Ó¬à¬İ¬Ö¬ß.,"Ostro?nie obchod? si? z Kwintesencjami. Staruszek nie b?dzie zadowolony, je?li co? sknocisz.",Evite de manipuler les quintessences. Le vieux ne sera pas tres content de te voir le faire.
npc/witch/Masteries/AncientAlchemy/0,,Á¦°¡ ¾Ë·ÁÁá´Ù´Â »ç½ÇÀº Àı´ë ´©¼³ÇØ¼± ¾ÈµË´Ï´Ù. Ä®·¹¿Â¿¡¼± ÀÚÁÖ ½á¸Ô¾ú´ø ±â¾ïÀÌ ³ª³×¿ä. ¹°·Ğ ³ª»Û Çàµ¿ÀÔ´Ï´Ù.,"Please don't let anyone know I taught you this. I used it all the time when I was in Carleon... Not a good thing to do, I know.",Şçª¬?ª¨ª¿ªÈª¤ª¦ª³ªÈªÏï¾?ªËåëªÃªÆªÏª¤ª±ªŞª»ªó¡£««?«ê«¢«óªÇªèª¯ŞÅªÃªÆª¤ª¿ªÎªò?ª¨ªÆª¤ªŞª¹¡£ªâªÁªíªó?ª¤ú¼ÔÑªÇª¹¡£,Üôé©?ãÀä²Í±??îÜ¡£ä²?Ôğñôî¤?××ëÚ?ßÈŞÅéÄ?£¬?æÔÜôãÀû¿îÜ??¡£,?ÓßÜôÒöàİÖÚõóËÛãÀä²Í±áÍ?îÜ¡£ä²ÑÀÔğä²ßÈî¤?×ÃÑáåÆñ®£¬Ó×æÔÑáãÀÜôû¿îÜú¼?¡£,"Bitte erzahle niemandem, dass ich dir das beigebracht habe. Wahrend meiner Zeit in Carleon habe ich diese Kunst oft angewandt ... Keine gute Idee, ich wei©¬.",No le cuentes a nadie que te he ensenado esto. En Carleon solia recurrir a esto bastante a menudo... Ahorrate el sermon.,"Nao deixe ninguem saber que eu lhe ensinei isso. Eu usava isso a toda a hora quando estava em Carleon... Nao e uma coisa boa de se fazer, eu sei.","¬´¬à¬İ¬î¬Ü¬à ¬ß¬Ú¬Ü¬à¬Ş¬å ¬ß¬Ö ¬Ô¬à¬Ó¬à¬â¬Ú, ¬é¬ä¬à ¬ï¬ä¬à ¬ñ ¬ä¬Ö¬Ò¬ñ ¬ß¬Ñ¬å¬é¬Ú¬İ¬Ñ. ¬Á ¬Ó¬ã¬× ¬Ó¬â¬Ö¬Ş¬ñ ¬ï¬ä¬Ú¬Ş ¬á¬à¬İ¬î¬Ù¬à¬Ó¬Ñ¬İ¬Ñ¬ã¬î, ¬á¬à¬Ü¬Ñ ¬Ò¬í¬İ¬Ñ ¬Ó ¬¬¬Ñ¬â¬İ¬Ö¬à¬ß¬Ö... ¬¿¬ä¬à ¬ß¬Ö¬ç¬à¬â¬à¬ê¬à, ¬ñ ¬Ù¬ß¬Ñ¬ğ.","Nie ujawniaj nikomu, ?e ci? tego nauczy©©am. U?ywa©©am tego przez ca©©y czas pobytu w Carleonie... Niezbyt rozs?dnie, no wiem.","Ne repete a personne ce que je t'ai appris. Je m'en servais tout le temps quand j'etais a Carleon. Ce n'est pas bien, je sais."
npc/witch/Masteries/SoulMate/0,,ÀÌÁ¦ ´ç½ÅÀÇ °ç¿¡´Â  Á¦°¡ ÇÔ²² ÇÏ°Ú½À´Ï´Ù.,"From now on, I'll be with you.",ª¢ªÊª¿ªÎÛ¨ªËªÏ¡¢Şçª¬ìé?ªËª¤ªŞª¹ªè¡£,?î¤ä²?Úá?î¤?îÜãóÛ±îÜ¡£,úŞî¤ÑÃä²üåÛÖî¤?îÜãóÜ«¡£,Ich werde dich ab jetzt begleiten.,"A partir de ahora, estare a tu lado.","A partir de agora, estarei com voce.",¬³ ¬ï¬ä¬à¬Ô¬à ¬Ş¬à¬Ş¬Ö¬ß¬ä¬Ñ ¬ñ ¬Ò¬å¬Õ¬å ¬ã ¬ä¬à¬Ò¬à¬Û.,Od teraz b?d? ci towarzyszy?.,"A partir de maintenant, je suis avec toi."
# Demon Castle NPC: Fox Hunter,,,,,,,,,,,,
npc/fox/name,,ÀÎÈ£Á· »ç³É²Û,Fox Hunter,ìÑûÏğé«Ï«ó«¿?,ìÑûÏğé?ìÑ,ìÑûÏğéÖ´ìÑ,Fuchsjager,Zorro cazador,Cacador de raposas,¬­¬Ú¬ã-¬à¬ç¬à¬ä¬ß¬Ú¬Ü,¨©owca lisow,Renard chasseur
npc/fox/rescue/rescued/0/0,,¹¹¾ß? ³¯ ±¸ÇÏ·¯ ¿Â °Ô ³Ê¶ó°í?,What? You came to save me?,ù¼ªÀ£¿åïªòğ¾ª±ªË?ª¿ªÎª¬ªªîñªÀªÃªÆ£¿,ä§?£¿ãÀ?Ï­Öõä²£¿,ä§??£¿ãÀ?ÕÎÏ­ä²£¿,"Was?! Du bist hier, um mich zu retten?!",¢®¢¯Que?! ¢¯Vienes a salvarme?,O que? Voce veio me salvar',¬¹¬ä¬à? ¬´¬í ¬á¬â¬Ú¬ê¬Ö¬İ ¬ã¬á¬Ñ¬ã¬ä¬Ú ¬Ş¬Ö¬ß¬ñ?,Co? Przyby©©e? mnie uratowa??,Comment ? Tu es venu me sauver ?
npc/fox/rescue/rescued/0/1,,"ÀâÈ÷±â Àü¿¡ ³»°¡ Á×ÀÎ ÀÎ°£µé¸¸ ÇØµµ 100¸¶¸®°¡ ³Ñ´Âµ¥, ÇÏÂúÀº ½ºÄÌ·¹ÅæÀ» ±¸Ãâ´ë·Î º¸³Â´Ù°í?","I hunted more than a hundred humans before I got caught, and all they sent to rescue me was a little skeleton?",øÚªŞªëîñªËåïª¬ß¯ª·ª¿ìÑÊàªÀª±ªÇªâ100ìÑì¤ß¾ªÊªÎªË¡¢?ªêªÊª¤«¹«±«ë«È«óªòÏ­õóÓéªÈª·ªÆáêªÃª¿ªÎª«£¿,ù¬?ñıîñ£¬ä²?Öõ100ÒıìÑ£¬öâ?ÌåæÔñş÷ïÖõÜôÑÃäÑîÜ???Ï­êµ£¿,î¤ù¬?Óğñıîñ£¬ä²ÎÃìÑ×¾ö¦ß¯Öõ100Òıô´¡£ËÜæÔ÷ïÖõÚ°ÜôğëÔ³îÜ??ÕÎÏ­ä²£¿,"Ich habe mehr als hundert Menschen gejagt, bevor ich gefangen wurde ? und sie schicken nur ein kleines Skelett, um mich zu retten?","O sea, cazo a cientos de humanos antes de que consigan atraparme, ¢¯y este esqueletucho es lo que mandan en mi rescate?","E cacei mais de uma centena de humanos antes de ser pego, e tudo o que eles enviaram para me salvar foi um pequeno esqueleto?","¬±¬à¬Ü¬Ñ ¬Ş¬Ö¬ß¬ñ ¬ß¬Ö ¬á¬à¬Û¬Ş¬Ñ¬İ¬Ú, ¬ñ ¬ã¬å¬Ş¬Ö¬İ ¬Ù¬Ñ¬Ó¬Ñ¬İ¬Ú¬ä¬î ¬Ò¬à¬İ¬î¬ê¬Ö ¬ã¬à¬ä¬ß¬Ú ¬İ¬ğ¬Õ¬Ö¬Û. ¬¡ ¬à¬ß¬Ú ¬á¬à¬ã¬İ¬Ñ¬İ¬Ú ¬Õ¬İ¬ñ ¬Ş¬à¬Ö¬Ô¬à ¬ã¬á¬Ñ¬ã¬Ö¬ß¬Ú¬ñ ¬Ü¬Ñ¬Ü¬à¬Ô¬à-¬ä¬à ¬ã¬Ü¬Ö¬İ¬Ö¬ä¬Ú¬Ü¬Ñ?","Upolowa©©em ponad setk? ludzi, zanim mnie z©©apali, a oni przysy©©aj? mi ma©©y szkielecik na ratunek.","J'ai chasse plus d'une centaine d'humains avant de me faire prendre, et tout ce qu'ils ont trouve a envoyer pour me sauver, c'est un mini squelette ?"
npc/fox/rescue/rescued/0/2,,Àå³­ÇÏ´Â °ÅÁö? »¡¸® °¡¼­ ¸¶¿Õ´Ô µ¥·Á¿Í.,"You're kidding, right? Go bring the Demon King.",é·ÓÈªÀªí£¿ğÄª¯Øªèİ?ªòÖ§ªìªÆª³ª¤ªè¡£,?èÌáÅ?£¿öáĞ£ØªèİÓŞìÑ?¡£,?ãÀî¤ËÒèÌáÅ?£¿öáËÛÓáØªèİÓŞìÑÎ¦ÕÎ¡£,"Nicht dein Ernst, oder? Geh und hole den Damonenkonig.","Sera broma, ¢¯no? Dile al rey demonio que venga, anda.","Voce esta zoando, certo? Traga o Rei Demonio.",¬¹¬ä¬à ¬Ù¬Ñ ¬ê¬å¬ä¬Ü¬Ú? ¬£¬Ö¬Õ¬Ú ¬Ü¬à¬â¬à¬İ¬ñ ¬Õ¬Ö¬Ş¬à¬ß¬à¬Ó.,"?artujesz, prawda? Id?, przyprowad? Krola Demonow.","Tu plaisantes, j'espere ? Va chercher le Roi-demon."
npc/fox/rescue/rescued/0/3,,...,...,¡¦,¡¦¡¦,...,...,...,¡¦,...,...,...
npc/fox/rescue/rescued/0/4,,¹¹? ¸¶¿Õ¼ºÀÌ ½À°İ´çÇØ ¸¶¿Õ´ÔÀÌ ÀâÇô°¬´Ù°í? ¸¶³à´Â?,What? His castle was invaded and he was captured? What about the Witch?,ª¨£¿ØªèİªÎàòª¬ã©?ªµªìªÆØªèİ?ª¬øÚªŞªÃª¿ªÃªÆ£¿ØªÒ³ªÏ£¿,ä§?£¿Øªèİàòù¬??£¬ØªèİÓŞìÑù¬?ñËÖõ£¿ØªÒ³?£¿,ä§?£¿ØªèİàòğäÓğã©Ìª£¬ØªèİÓŞìÑù¬?ñËÖõ£¿ØªÒ³?£¿,Was? Sie haben sein Schloss angegriffen und ihn gefangen genommen? Was ist mit der Hexe?,¢¯Que? ¢¯Que invadieron su castillo y lo capturaron? Y... ¢¯la bruja?,O que? Seu castelo foi invadido e ele foi capturado? E a Bruxa?,"¬¹¬ä¬à? ¬¦¬Ô¬à ¬Ù¬Ñ¬Ş¬à¬Ü ¬Ù¬Ñ¬ç¬Ó¬Ñ¬é¬Ö¬ß, ¬Ñ ¬ã¬Ñ¬Ş ¬à¬ß ¬Ó ¬á¬İ¬Ö¬ß¬å? ¬¡ ¬é¬ä¬à ¬ã ¬Ó¬Ö¬Õ¬î¬Ş¬à¬Û?",Co? Ten zamek by©© oblegany i zdobyty? A co z Czarownic??,Comment ? Son chateau a ete envahi et il a ete capture ? Et la sorciere ?
npc/fox/rescue/rescued/0/5,,...,...,¡¦,¡¦¡¦,...,...,...,¡¦,...,...,...
npc/fox/rescue/rescued/0/6,,³×°¡ ±¸Çß´Ù°í? ÇÏÇÏÇÏ. ¸»ÀÌ µÇ´Â ¼Ò¸®¸¦ ÇØ¶ó. ³à¼®µéÀº °­ÇØ. Æ¯È÷ ±× ¿ë»ç...,You saved her? Hah hah hah. Like I'd believe that. The humans are strong. Their hero is especially powerful.,ªªîñª¬ğ¾ª±ª¿ªÀªÈ£¿«Ï«Ï«Ï¡£ªÕª¶ª±ªëªÎªâª¤ª¤Ê¥ÊõªËª·ªíªè¡£ª¢ª¤ªÄªéªÏ?ª¤ªóªÀ¡£÷åªËª¢ªÎé¸íº¡¦,?Ï­Öõ?£¿ùëùëùë¡£?ãÀÙé×âö¢?¡£ÑáŞÁÊ«?Ñá?Ë­£¬÷å?ãÀÑá?é¸ŞÍ¡¦¡¦,ãÀ?Ï­Öõ?£¿ùëùëùë£¬ßÀü¥?£¿öâÙú??å­£¡éÖĞìãÀÑáËÁé¸ŞÍ...,"Du hast sie gerettet? Ha ha ha. Das glaubst du ja wohl selbst nicht. Die Menschen sind stark, besonders ihr Held.","¢¯Que la has salvado? ¢®Ja, ja, ja! Pretendes que me lo crea, ¢¯no? Los humanos son fuertes. Y su heroe, mas fuerte todavia.",Voce salvou ela? Hah hah hah. Como se eu acreditasse nisso. Os humanos sao fortes. Seu heroi e especialmente poderoso.,¬´¬í ¬ã¬á¬Ñ¬ã ¬Ö¬Ö? ¬·¬Ñ-¬ç¬Ñ-¬ç¬Ñ! ¬´¬Ñ¬Ü ¬ñ ¬Ú ¬á¬à¬Ó¬Ö¬â¬Ú¬İ. ¬­¬ğ¬Õ¬Ú ¬ã¬Ú¬İ¬î¬ß¬í¬Ö. ¬¡ ¬Ú¬ç ¬Ô¬Ö¬â¬à¬Û ¬à¬ã¬à¬Ò¬Ö¬ß¬ß¬à ¬Ş¬à¬ë¬ß¬í¬Û.,"Uratowa©©e? j?? Ha, ha, ha. Chcia©©bym w to wierzy?. Ludzie s? silni. A zw©©aszcza ich bohater.","Tu l'as sauvee ? Ah, ah, ah ! Comme si j'allais te croire. Les humains sont forts. Leur heros est particulierement puissant."
npc/fox/rescue/rescued/0/7,,ÀÏ´Ü ³»°¡ °¡¼­ ¸¶¿Õ¼ºÀ» »ìÆìºÁ¾ß°Ú¾î. ´Ù¸¥ ÀÇ¿øµé¸¸ ÀÖ´Ù¸é ¾î¶»°Ôµç ¸·À» ¼ö ÀÖ°ÚÁö. ³Ê´Â... ³» ¾Ë ¹Ù ¾Æ´Ï¾ß. ¾Ë¾Æ¼­ Àß ÈÖÀú¾î º¸¶ó°í.,"For now, I'll go check the Demon King Castle. I'm sure I could stop them with the other Senators. As for you... I don't really care.",ªÒªÈªŞªºåïª¬ú¼ªÃªÆØªèİªÎàòªòğàªÙªÆªßªÊª¤ªÈ¡£öâªÎì¡ê¬ªµª¨ª¤ªìªĞªÉª¦ªËª«ÛÁª²ªëªÀªí¡£ªªîñªÏ¡¦åïªÎò±ªÃª¿ª³ªÈª¸ªãªÊª¤¡£û¿ª­ã­â¢ªËòÉªêüŞª·ªÆªßªíªè¡£,ä²é©à»ËÛØªèİàòÊ×Ê×¡£åıÍıĞìöâ??î¤îÜ?£¬ĞéïÒêóğæ?îÜÛ°Ûö¡£?¡¦¡¦Üô?ä²îÜŞÀ¡£í»ĞùÊ×ó·??¡£,õÅñı£¬ä²Ôğà»ËÛÊ×ìéù»Øªèİàò¡£ñşé©Ğìöâì¡ê¬Ùúü½î¤£¬ÜôÎ·?åÆëëú±Ô´Òö?ù»¡£?¡¦ÜôÎ¼ä²îÜŞÀ£¬?í»ĞùÊ×îÊ÷ı?£¡,Ich schaue erstmal im Schloss des Damonenkonigs nach. Zusammen mit den anderen Senatoren kann ich sie sicher aufhalten. Und was dich betrifft ... ist mir eigentlich egal.,"De momento, me acercare al castillo del rey demonio. Seguro que puedo pararles los pies con la ayuda de los senadores. En cuanto a ti... Paso de ti.","Por agora, irei conferir o Castelo do Rei Demonio. Tenho a certeza de que consigo travar eles com os outros Senadores. Quanto a voce... Na verdade nao quero saber.","¬³¬Ö¬Û¬é¬Ñ¬ã ¬ñ ¬á¬à¬Û¬Õ¬å ¬á¬à¬ã¬Ş¬à¬ä¬â¬ğ, ¬é¬ä¬à ¬ä¬Ñ¬Ş ¬ã ¬Ù¬Ñ¬Ş¬Ü¬à¬Ş ¬Ü¬à¬â¬à¬İ¬ñ ¬Õ¬Ö¬Ş¬à¬ß¬à¬Ó. ¬µ¬Ó¬Ö¬â¬Ö¬ß, ¬Ş¬í ¬ã ¬ã¬Ö¬ß¬Ñ¬ä¬à¬â¬Ñ¬Ş¬Ú ¬ã¬Ş¬à¬Ø¬Ö¬Ş ¬à¬ã¬ä¬Ñ¬ß¬à¬Ó¬Ú¬ä¬î ¬Ú¬ç. ¬¡ ¬ä¬í ¬á¬à¬Ü¬Ñ... ¬£¬á¬â¬à¬é¬Ö¬Ş, ¬Ş¬ß¬Ö ¬Ó¬ã¬× ¬â¬Ñ¬Ó¬ß¬à.","Na razie id? zbada? Zamek Krola Demonow. Jestem pewien, ?e potrafi? ich zatrzyma? z pomoc? innych senatorow. A co do ciebie¡¦ jest mi wszystko jedno.","Pour l'instant, je vais deja aller voir le chateau du Roi-demon. Je pense pouvoir les arreter avec les autres senateurs. Quant a toi... Je m'en fiche."
npc/fox/rescue/rescued/0/8,,¸öÁ¶½É ÇÏ°í.,Take care.,?ªË?ªòªÄª±ªÆªÊ¡£,á³ãı¡£,á³ãıìéïÇ¡£,Mach's gut.,Cuidate.,Se cuide.,¬¢¬í¬Ó¬Ñ¬Û.,Uwa?aj na siebie.,Fais attention.
npc/fox/rescue/line/0,,³» È° ¾îµğ °¬Áö?,Where's my bow?,åïªÎÏáªÏªÉª³ªÀ£¿,ä²îÜÏáï©ËÛ?Öõ£¿,ä²îÜÏá?ËÛ?Öõ£¿,Wo ist mein Bogen?,¢¯Donde esta mi arco?,Onde esta meu arco?,¬¤¬Õ¬Ö ¬Ş¬à¬Û ¬İ¬å¬Ü?,Gdzie moj ©©uk?,Ou est mon arc ?
npc/fox/rescue/line/1,,±× ³à¼® ¸Ó¸®´Â ³»°¡ Â÷ÁöÇÏ°Ú¾î.,His head is mine.,ª¢ª¤ªÄªÎÔéªÏåïª¬ö¢ªÃªÆªäªë¡£,ä²é©ÑáÊ«?îÜÙ¤¡£,Ñá??îÜÔéë¦ä²ÑÚù»¡£,Sein Kopf gehort mir.,Quiero su cabeza.,Sua cabeca e minha.,¬¦¬Ô¬à ¬Ô¬à¬İ¬à¬Ó¬Ñ ¬á¬â¬Ú¬ß¬Ñ¬Õ¬İ¬Ö¬Ø¬Ú¬ä ¬Ş¬ß¬Ö.,Jego g©©owa nale?y do mnie.,Sa tete est a moi.
npc/fox/rescue/line/2,,ÀÌÁ¦ ²¨Á®.,"Now, get lost.",ª³ª³ªÇá¼ª¨ªÊ¡£,Ê¦ì¤?Öõ¡£,úŞî¤Íã?£¡,Nun verzieh dich.,"¢®Ahora, largo de aqui!","Agora, fora daqui.",¬¡ ¬ä¬Ö¬á¬Ö¬â¬î ¬Ó¬Ñ¬İ¬Ú ¬à¬ä¬ã¬ğ¬Õ¬Ñ.,Teraz spadaj.,"Maintenant, degage."
npc/fox/rescue/chat/0/0,,Åª... »óÃ³°¡ ³Ê¹« ½ÉÇÑ°¡... ºØ´ë ÀÖÀ¸¸é ÇÏ³ª ÁàºÁ.,Ugh... Maybe my injury is worse than I thought... Got any bandages on you?,«¯«Ã¡¦ß¿ª¬ä¢ª¹ª®ªëªÎª«¡¦øĞ?ª¬ª¢ªÃª¿ªéìéªÄÓèª·ªÆªßªí¡£,?¡¦¡¦?ıİ÷¼ä¢Öõ¡¦¡¦êó??îÜ??ä²ÑÚ?¡£,çğ¡¦ß¿Ï¢÷¼ä¢Öõ?¡¦?êóİŞÓáîÜü¥£¬Ğåä²ìéËÁ?£¡,"Uff ... Meine Verletzung scheint schlimmer zu sein, als ich dachte ... Hast du zufallig Verbande?",Uf... Quiza mi herida sea mas grave de lo que pensaba... ¢¯No llevaras encima algo con lo que me pueda vendar?,Ugh... Talvez minha lesao seja pior do que pensava... Tem algum curativo com voce?,"¬°¬ç... ¬®¬à¬Ø¬Ö¬ä ¬Ò¬í¬ä¬î, ¬Ş¬à¬ñ ¬â¬Ñ¬ß¬Ñ ¬à¬á¬Ñ¬ã¬ß¬Ö¬Ö, ¬é¬Ö¬Ş ¬ñ ¬Õ¬å¬Ş¬Ñ¬İ... ¬¦¬ã¬ä¬î ¬é¬Ö¬Ş ¬á¬Ö¬â¬Ö¬Ó¬ñ¬Ù¬Ñ¬ä¬î?","Uff... Ta rana mo?e by? gorsza, ni? my?la©©em... Masz przy sobie jakie? banda?e?",Argh... Ma blessure est peut-etre plus grave que je ne le pensais... Tu as des pansements sur toi ?
npc/fox/rescue/chat/1/0,,Ä®·¹¿Â ³ğµé ÁË´Ù ¶È°°ÀÌ »ı°Ü°¡Áö°í È¥¶õ½º·¯¿ö¼­ ´çÇØ¹ö·È¾î.,They got me while I was confused. Those Carleon jerks all look the same.,««?«ê«¢«óªÎªäªÄªéªÏªßªóªÊÔÒª¸Ì¸ª¿ÙÍªÀª«ªé¡¢ûè?ª·ªÆªäªéªìªÁªŞªÃª¿ªóªÀ¡£,?××ëÚÑáŞÁÊ«?Ô´ìé?£¬ìé?Ú»ûÕù¬??Öõ¡£,ÑáŞÁ?×ÃìÑÔ´íşÔğìéÙ¼ìéåÆ£¬úªÔğä²û¿ûèÕ¯£¬ö¦ù¬äŞß©Öõ¡£,"Ich war verwirrt, deshalb haben sie mich erwischt. Diese Trottel aus Carleon sehen alle gleich aus.",Aprovecharon que estaba confuso para atacarme. Todos los patanes de Carleon son identicos.,Eles me atingiram quando fiquei confuso. Esses babacas de Carleon sao todos iguais.,"¬°¬ß¬Ú ¬á¬à¬Û¬Ş¬Ñ¬İ¬Ú ¬Ş¬Ö¬ß¬ñ, ¬á¬à¬Ü¬Ñ ¬ñ ¬Ú¬ç ¬â¬Ñ¬Ù¬Ô¬İ¬ñ¬Õ¬í¬Ó¬Ñ¬İ. ¬¿¬ä¬Ú ¬Ü¬â¬Ö¬ä¬Ú¬ß¬í ¬Ú¬Ù ¬¬¬Ñ¬â¬İ¬Ö¬à¬ß¬Ñ ¬Ó¬ã¬Ö ¬à¬Õ¬Ú¬ß¬Ñ¬Ü¬à¬Ó¬í ¬ß¬Ñ ¬Ó¬Ú¬Õ.","Dorwali mnie, gdy by©©em zdezorientowany. Te po©©g©©owki z Carleonu wszystkie wygl?daj? tak samo.",Ils ont profite de ma confusion pour m'avoir. Ces abrutis de Carleon se ressemblent tous.
